FECHA|CASOS|MUERTES|COUNTRY
11/04/2020|65|1|Azerbaijan
12/04/2020|67|1|Azerbaijan
13/04/2020|40|0|Azerbaijan
14/04/2020|50|1|Azerbaijan
16/03/2020|1|0|Bahamas
17/03/2020|0|0|Bahamas
20/03/2020|2|0|Bahamas
21/03/2020|1|0|Bahamas
22/03/2020|0|0|Bahamas
23/03/2020|0|0|Bahamas
24/03/2020|0|0|Bahamas
25/03/2020|0|0|Bahamas
26/03/2020|1|0|Bahamas
27/03/2020|4|0|Bahamas
28/03/2020|0|0|Bahamas
29/03/2020|2|0|Bahamas
30/03/2020|3|0|Bahamas
31/03/2020|0|0|Bahamas
01/04/2020|1|0|Bahamas
02/04/2020|6|1|Bahamas
03/04/2020|3|0|Bahamas
04/04/2020|0|2|Bahamas
05/04/2020|4|1|Bahamas
06/04/2020|1|1|Bahamas
07/04/2020|4|0|Bahamas
08/04/2020|3|1|Bahamas
09/04/2020|4|1|Bahamas
10/04/2020|1|1|Bahamas
11/04/2020|1|0|Bahamas
12/04/2020|4|0|Bahamas
13/04/2020|1|0|Bahamas
14/04/2020|2|0|Bahamas
24/02/2020|1|0|Bahrain
25/02/2020|1|0|Bahrain
26/02/2020|21|0|Bahrain
27/02/2020|10|0|Bahrain
28/02/2020|0|0|Bahrain
29/02/2020|5|0|Bahrain
01/03/2020|3|0|Bahrain
02/03/2020|6|0|Bahrain
04/03/2020|2|0|Bahrain
05/03/2020|3|0|Bahrain
06/03/2020|0|0|Bahrain
07/03/2020|4|0|Bahrain
08/03/2020|7|0|Bahrain
09/03/2020|16|0|Bahrain
10/03/2020|30|0|Bahrain
11/03/2020|1|0|Bahrain
12/03/2020|52|0|Bahrain
13/03/2020|0|0|Bahrain
14/03/2020|48|0|Bahrain
15/03/2020|1|0|Bahrain
16/03/2020|3|0|Bahrain
17/03/2020|7|1|Bahrain
18/03/2020|16|0|Bahrain
19/03/2020|19|0|Bahrain
20/03/2020|13|0|Bahrain
21/03/2020|16|0|Bahrain
22/03/2020|21|0|Bahrain
23/03/2020|28|1|Bahrain
24/03/2020|5|0|Bahrain
25/03/2020|51|1|Bahrain
26/03/2020|29|0|Bahrain
27/03/2020|39|1|Bahrain
28/03/2020|8|0|Bahrain
29/03/2020|7|0|Bahrain
30/03/2020|27|0|Bahrain
31/03/2020|15|0|Bahrain
01/04/2020|52|0|Bahrain
02/04/2020|2|0|Bahrain
03/04/2020|74|0|Bahrain
04/04/2020|0|0|Bahrain
05/04/2020|45|0|Bahrain
06/04/2020|12|0|Bahrain
07/04/2020|56|0|Bahrain
08/04/2020|55|1|Bahrain
09/04/2020|12|0|Bahrain
10/04/2020|64|0|Bahrain
11/04/2020|111|1|Bahrain
12/04/2020|42|0|Bahrain
13/04/2020|96|0|Bahrain
14/04/2020|225|1|Bahrain
09/03/2020|3|0|Bangladesh
15/03/2020|0|0|Bangladesh
17/03/2020|2|0|Bangladesh
18/03/2020|3|0|Bangladesh
19/03/2020|2|0|Bangladesh
20/03/2020|0|0|Bangladesh
21/03/2020|7|0|Bangladesh
22/03/2020|7|2|Bangladesh
23/03/2020|3|1|Bangladesh
24/03/2020|6|0|Bangladesh
25/03/2020|6|1|Bangladesh
26/03/2020|0|1|Bangladesh
27/03/2020|9|0|Bangladesh
28/03/2020|0|0|Bangladesh
29/03/2020|0|0|Bangladesh
30/03/2020|1|0|Bangladesh
31/03/2020|0|0|Bangladesh
01/04/2020|2|0|Bangladesh
02/04/2020|3|1|Bangladesh
03/04/2020|2|0|Bangladesh
04/04/2020|5|0|Bangladesh
05/04/2020|9|2|Bangladesh
06/04/2020|18|1|Bangladesh
07/04/2020|35|3|Bangladesh
08/04/2020|41|5|Bangladesh
09/04/2020|54|3|Bangladesh
10/04/2020|112|1|Bangladesh
11/04/2020|94|6|Bangladesh
12/04/2020|58|3|Bangladesh
13/04/2020|139|4|Bangladesh
14/04/2020|182|5|Bangladesh
18/03/2020|1|0|Barbados
19/03/2020|0|0|Barbados
20/03/2020|1|0|Barbados
21/03/2020|4|0|Barbados
22/03/2020|8|0|Barbados
23/03/2020|3|0|Barbados
24/03/2020|0|0|Barbados
25/03/2020|1|0|Barbados
26/03/2020|0|0|Barbados
27/03/2020|6|0|Barbados
28/03/2020|0|0|Barbados
29/03/2020|2|0|Barbados
30/03/2020|7|0|Barbados
31/03/2020|1|0|Barbados
01/04/2020|0|0|Barbados
02/04/2020|11|0|Barbados
03/04/2020|0|0|Barbados
04/04/2020|0|0|Barbados
05/04/2020|6|0|Barbados
06/04/2020|5|1|Barbados
07/04/2020|4|1|Barbados
08/04/2020|3|1|Barbados
09/04/2020|0|0|Barbados
10/04/2020|3|0|Barbados
11/04/2020|1|1|Barbados
12/04/2020|1|0|Barbados
13/04/2020|3|0|Barbados
14/04/2020|1|0|Barbados
28/02/2020|1|0|Belarus
29/02/2020|0|0|Belarus
01/03/2020|0|0|Belarus
02/03/2020|0|0|Belarus
04/03/2020|3|0|Belarus
05/03/2020|2|0|Belarus
11/03/2020|3|0|Belarus
12/03/2020|3|0|Belarus
13/03/2020|9|0|Belarus
16/03/2020|6|0|Belarus
17/03/2020|9|0|Belarus
18/03/2020|0|0|Belarus
19/03/2020|10|0|Belarus
20/03/2020|11|0|Belarus
21/03/2020|0|0|Belarus
22/03/2020|19|0|Belarus
23/03/2020|0|0|Belarus
24/03/2020|5|0|Belarus
25/03/2020|0|0|Belarus
26/03/2020|5|0|Belarus
27/03/2020|0|0|Belarus
28/03/2020|8|0|Belarus
29/03/2020|0|0|Belarus
30/03/2020|0|0|Belarus
31/03/2020|11|0|Belarus
01/04/2020|47|0|Belarus
02/04/2020|0|0|Belarus
03/04/2020|102|4|Belarus
04/04/2020|97|0|Belarus
05/04/2020|43|1|Belarus
06/04/2020|170|3|Belarus
07/04/2020|136|5|Belarus
08/04/2020|161|0|Belarus
09/04/2020|205|0|Belarus
10/04/2020|420|3|Belarus
11/04/2020|495|3|Belarus
12/04/2020|245|4|Belarus
13/04/2020|352|3|Belarus
14/04/2020|341|3|Belarus
04/02/2020|1|0|Belgium
05/02/2020|0|0|Belgium
06/02/2020|0|0|Belgium
07/02/2020|0|0|Belgium
08/02/2020|0|0|Belgium
09/02/2020|0|0|Belgium
10/02/2020|0|0|Belgium
11/02/2020|0|0|Belgium
12/02/2020|0|0|Belgium
13/02/2020|0|0|Belgium
14/02/2020|0|0|Belgium
15/02/2020|0|0|Belgium
16/02/2020|0|0|Belgium
17/02/2020|0|0|Belgium
18/02/2020|0|0|Belgium
19/02/2020|0|0|Belgium
20/02/2020|0|0|Belgium
21/02/2020|0|0|Belgium
22/02/2020|0|0|Belgium
23/02/2020|0|0|Belgium
24/02/2020|0|0|Belgium
25/02/2020|0|0|Belgium
26/02/2020|0|0|Belgium
27/02/2020|0|0|Belgium
28/02/2020|0|0|Belgium
29/02/2020|0|0|Belgium
01/03/2020|0|0|Belgium
02/03/2020|1|0|Belgium
03/03/2020|6|0|Belgium
04/03/2020|5|0|Belgium
05/03/2020|10|0|Belgium
06/03/2020|27|0|Belgium
07/03/2020|59|0|Belgium
08/03/2020|60|0|Belgium
09/03/2020|31|0|Belgium
10/03/2020|39|0|Belgium
11/03/2020|28|0|Belgium
12/03/2020|47|3|Belgium
13/03/2020|85|0|Belgium
14/03/2020|160|0|Belgium
15/03/2020|130|1|Belgium
16/03/2020|197|0|Belgium
17/03/2020|199|1|Belgium
18/03/2020|158|0|Belgium
19/03/2020|243|9|Belgium
20/03/2020|309|7|Belgium
21/03/2020|462|16|Belgium
22/03/2020|558|30|Belgium
23/03/2020|586|8|Belgium
24/03/2020|342|13|Belgium
25/03/2020|526|34|Belgium
26/03/2020|668|56|Belgium
27/03/2020|1298|42|Belgium
28/03/2020|1049|69|Belgium
29/03/2020|1850|64|Belgium
30/03/2020|1702|78|Belgium
31/03/2020|1063|82|Belgium
01/04/2020|876|192|Belgium
02/04/2020|1189|123|Belgium
03/04/2020|1384|183|Belgium
04/04/2020|1422|132|Belgium
05/04/2020|1661|140|Belgium
06/04/2020|1260|164|Belgium
07/04/2020|1123|185|Belgium
08/04/2020|1380|403|Belgium
09/04/2020|1209|205|Belgium
10/04/2020|1580|283|Belgium
11/04/2020|1684|496|Belgium
12/04/2020|1351|327|Belgium
13/04/2020|1629|254|Belgium
14/04/2020|942|303|Belgium
24/03/2020|1|0|Belize
25/03/2020|0|0|Belize
26/03/2020|1|0|Belize
27/03/2020|0|0|Belize
28/03/2020|0|0|Belize
29/03/2020|0|0|Belize
